# theme: 나와 가족 — 인사·숫자·시간
# unit: voca-1-u001
你好 | nǐ hǎo
您 | nín
你 | nǐ
我 | wǒ
他 | tā
她 | tā
我们 | wǒmen
你们 | nǐmen
他们 | tāmen
大家 | dàjiā
谢谢 | xièxie
不客气 | bú kèqi
对不起 | duìbuqǐ
没关系 | méi guānxi
再见 | zàijiàn
请 | qǐng
名字 | míngzi
叫 | jiào
认识 | rènshi
朋友 | péngyou
同学 | tóngxué
老师 | lǎoshī
学生 | xuésheng
家 | jiā
家人 | jiārén
爸爸 | bàba
妈妈 | māma
哥哥 | gēge
姐姐 | jiějie
弟弟 | dìdi
妹妹 | mèimei
儿子 | érzi
女儿 | nǚ'ér
孩子 | háizi
爷爷 | yéye
奶奶 | nǎinai
丈夫 | zhàngfu
妻子 | qīzi
先生 | xiānsheng
小姐 | xiǎojiě
男 | nán
女 | nǚ
男人 | nánrén
女人 | nǚrén
人 | rén
中国 | Zhōngguó
中文 | Zhōngwén
汉语 | Hànyǔ
国家 | guójiā
一 | yī
二 | èr
三 | sān
四 | sì
五 | wǔ
六 | liù
七 | qī
八 | bā
九 | jiǔ
十 | shí
百 | bǎi
千 | qiān
零 | líng
两 | liǎng
第一 | dìyī
岁 | suì
年 | nián
月 | yuè
日 | rì
号 | hào
星期 | xīngqī
天 | tiān
今天 | jīntiān
明天 | míngtiān
昨天 | zuótiān
上午 | shàngwǔ
中午 | zhōngwǔ
下午 | xiàwǔ
晚上 | wǎnshang
早上 | zǎoshang
时候 | shíhou
时间 | shíjiān
现在 | xiànzài
点 | diǎn
分钟 | fēnzhōng
小时 | xiǎoshí
今年 | jīnnián
去年 | qùnián
明年 | míngnián
生日 | shēngrì
周末 | zhōumò
以前 | yǐqián
以后 | yǐhòu
几 | jǐ
多少 | duōshao
什么 | shénme
谁 | shéi
哪 | nǎ
哪儿 | nǎr
这 | zhè
那 | nà
