# theme: 먹고 사기 — 음식·가게·돈
# unit: voca-1-u002
吃 | chī
喝 | hē
饭 | fàn
米饭 | mǐfàn
面条 | miàntiáo
包子 | bāozi
饺子 | jiǎozi
面包 | miànbāo
鸡蛋 | jīdàn
肉 | ròu
牛肉 | niúròu
鸡 | jī
鱼 | yú
菜 | cài
汤 | tāng
米 | mǐ
水果 | shuǐguǒ
苹果 | píngguǒ
香蕉 | xiāngjiāo
西瓜 | xīguā
水 | shuǐ
茶 | chá
咖啡 | kāfēi
牛奶 | niúnǎi
果汁 | guǒzhī
啤酒 | píjiǔ
酒 | jiǔ
早饭 | zǎofàn
午饭 | wǔfàn
晚饭 | wǎnfàn
饭店 | fàndiàn
饭馆 | fànguǎn
餐厅 | cāntīng
菜单 | càidān
服务员 | fúwùyuán
客人 | kèrén
点菜 | diǎn cài
做饭 | zuò fàn
好吃 | hǎochī
好喝 | hǎohē
甜 | tián
饿 | è
渴 | kě
杯子 | bēizi
杯 | bēi
碗 | wǎn
盘子 | pánzi
筷子 | kuàizi
瓶 | píng
买 | mǎi
卖 | mài
钱 | qián
块 | kuài
元 | yuán
毛 | máo
角 | jiǎo
分 | fēn
斤 | jīn
一共 | yígòng
贵 | guì
便宜 | piányi
钱包 | qiánbāo
商店 | shāngdiàn
超市 | chāoshì
商场 | shāngchǎng
市场 | shìchǎng
东西 | dōngxi
衣服 | yīfu
裤子 | kùzi
鞋 | xié
帽子 | màozi
手表 | shǒubiǎo
包 | bāo
颜色 | yánsè
红 | hóng
白 | bái
黑 | hēi
件 | jiàn
双 | shuāng
张 | zhāng
个 | gè
些 | xiē
一点儿 | yìdiǎnr
多 | duō
少 | shǎo
要 | yào
想 | xiǎng
试 | shì
送 | sòng
书 | shū
本子 | běnzi
笔 | bǐ
桌子 | zhuōzi
椅子 | yǐzi
电脑 | diànnǎo
电视 | diànshì
电影 | diànyǐng
票 | piào
车 | chē
开车 | kāi chē
