# theme: 기본 동사와 형용사 — 가다·오다·크다
# unit: voca-1-u003
去 | qù
来 | lái
回 | huí
走 | zǒu
跑 | pǎo
到 | dào
进 | jìn
出 | chū
上 | shàng
下 | xià
看 | kàn
看见 | kànjiàn
听 | tīng
说 | shuō
说话 | shuō huà
读 | dú
写 | xiě
学习 | xuéxí
学 | xué
做 | zuò
开 | kāi
关 | guān
打 | dǎ
打电话 | dǎ diànhuà
睡觉 | shuì jiào
起床 | qǐ chuáng
休息 | xiūxi
坐 | zuò
喜欢 | xǐhuan
爱 | ài
会 | huì
能 | néng
可以 | kěyǐ
知道 | zhīdào
觉得 | juéde
给 | gěi
让 | ràng
帮助 | bāngzhù
找 | zhǎo
等 | děng
用 | yòng
穿 | chuān
洗 | xǐ
唱歌 | chàng gē
跳舞 | tiào wǔ
游泳 | yóu yǒng
运动 | yùndòng
旅游 | lǚyóu
准备 | zhǔnbèi
开始 | kāishǐ
完 | wán
懂 | dǒng
告诉 | gàosu
介绍 | jièshào
拿 | ná
放 | fàng
换 | huàn
笑 | xiào
生病 | shēng bìng
上课 | shàng kè
上班 | shàng bān
考试 | kǎoshì
希望 | xīwàng
需要 | xūyào
应该 | yīnggāi
可能 | kěnéng
大 | dà
小 | xiǎo
好 | hǎo
坏 | huài
高 | gāo
长 | cháng
短 | duǎn
快 | kuài
慢 | màn
远 | yuǎn
近 | jìn
新 | xīn
忙 | máng
累 | lèi
高兴 | gāoxìng
快乐 | kuàilè
开心 | kāixīn
漂亮 | piàoliang
好看 | hǎokàn
对 | duì
错 | cuò
难 | nán
容易 | róngyì
干净 | gānjìng
舒服 | shūfu
重要 | zhòngyào
一样 | yíyàng
明白 | míngbai
真 | zhēn
很 | hěn
太 | tài
非常 | fēicháng
都 | dōu
也 | yě
