# theme: 하루 일과와 여가 — 운동·여행·병원
# unit: voca-2-u001
早起 | zǎoqǐ
洗澡 | xǐzǎo
刷牙 | shuāyá
洗脸 | xǐliǎn
上学 | shàngxué
下班 | xiàbān
闹钟 | nàozhōng
下课 | xiàkè
散步 | sànbù
跑步 | pǎobù
跳绳 | tiàoshéng
锻炼 | duànliàn
篮球 | lánqiú
足球 | zúqiú
踢 | tī
比赛 | bǐsài
下棋 | xiàqí
动物园 | dòngwùyuán
旅行 | lǚxíng
护照 | hùzhào
行李 | xíngli
机场 | jīchǎng
宾馆 | bīnguǎn
酒店 | jiǔdiàn
房间 | fángjiān
火车站 | huǒchēzhàn
公交车 | gōngjiāochē
地铁 | dìtiě
自行车 | zìxíngchē
司机 | sījī
骑 | qí
路 | lù
地图 | dìtú
照相 | zhàoxiàng
照片 | zhàopiàn
风景 | fēngjǐng
公园 | gōngyuán
假期 | jiàqī
牙医 | yáyī
感冒 | gǎnmào
发烧 | fāshāo
头疼 | tóuténg
疼 | téng
药 | yào
吃药 | chīyào
检查 | jiǎnchá
身体 | shēntǐ
眼睛 | yǎnjing
嘴 | zuǐ
脚 | jiǎo
护士 | hùshi
病人 | bìngrén
健康 | jiànkāng
羊肉 | yángròu
手机 | shǒujī
蓝 | lán
礼物 | lǐwù
晴 | qíng
阴 | yīn
雪 | xuě
报纸 | bàozhǐ
玩 | wán
猫 | māo
狗 | gǒu
音乐 | yīnyuè
画 | huà
回家 | huíjiā
离开 | líkāi
欢迎 | huānyíng
花 | huā
银行 | yínháng
上网 | shàngwǎng
打球 | dǎqiú
网球 | wǎngqiú
排球 | páiqiú
乒乓球 | pīngpāngqiú
羽毛球 | yǔmáoqiú
滑冰 | huábīng
滑雪 | huáxuě
飞机 | fēijī
登机 | dēngjī
医院 | yīyuàn
医生 | yīshēng
看病 | kànbìng
牙 | yá
胳膊 | gēbo
放假 | fàngjià
游戏 | yóuxì
体育 | tǐyù
运动员 | yùndòngyuán
钓鱼 | diàoyú
爬 | pá
出租车 | chūzūchē
相机 | xiàngjī
箱子 | xiāngzi
放松 | fàngsōng
出门 | chūmén
洗衣服 | xǐ yīfu
聊天 | liáotiān
输 | shū
