# theme: 기본 접속사와 부사 — 因为·所以·已经
# unit: voca-2-u002
因为 | yīnwèi
所以 | suǒyǐ
虽然 | suīrán
但是 | dànshì
已经 | yǐjīng
还是 | háishi
或者 | huòzhě
而且 | érqiě
如果 | rúguǒ
然后 | ránhòu
可是 | kěshì
不过 | búguò
就 | jiù
才 | cái
再 | zài
又 | yòu
还 | hái
最 | zuì
比较 | bǐjiào
更 | gèng
特别 | tèbié
一定 | yídìng
一起 | yìqǐ
一下 | yíxià
一直 | yìzhí
马上 | mǎshàng
正在 | zhèngzài
刚才 | gāngcái
刚 | gāng
经常 | jīngcháng
常常 | chángcháng
有时候 | yǒu shíhou
总是 | zǒngshì
终于 | zhōngyú
当然 | dāngrán
先 | xiān
只 | zhǐ
越来越 | yuè lái yuè
必须 | bìxū
得 | děi
别 | bié
不用 | búyòng
为什么 | wèishénme
怎么样 | zěnmeyàng
比 | bǐ
从 | cóng
往 | wǎng
离 | lí
跟 | gēn
向 | xiàng
为了 | wèile
被 | bèi
把 | bǎ
着 | zhe
过 | guo
吧 | ba
次 | cì
条 | tiáo
种 | zhǒng
位 | wèi
遍 | biàn
每 | měi
半 | bàn
后来 | hòulái
最近 | zuìjìn
结束 | jiéshù
回答 | huídá
问题 | wèntí
问 | wèn
意思 | yìsi
事情 | shìqing
旁边 | pángbiān
左边 | zuǒbian
右边 | yòubian
外 | wài
它 | tā
还有 | háiyǒu
所有 | suǒyǒu
其他 | qítā
真的 | zhēnde
就是 | jiùshì
要是 | yàoshi
那么 | nàme
这样 | zhèyàng
那样 | nàyàng
怎么 | zěnme
多么 | duōme
之后 | zhīhòu
和 | hé
连 | lián
快要 | kuàiyào
就要 | jiùyào
曾经 | céngjīng
一会儿 | yíhuìr
早就 | zǎojiù
好久 | hǎojiǔ
很久 | hěnjiǔ
全 | quán
只是 | zhǐshì
以上 | yǐshàng
