# theme: 학교와 일
# unit: voca-3-u001
年级 | niánjí
成绩 | chéngjì
作业 | zuòyè
数学 | shùxué
历史 | lìshǐ
文化 | wénhuà
科学 | kēxué
语言 | yǔyán
词典 | cídiǎn
黑板 | hēibǎn
练习 | liànxí
复习 | fùxí
笔记本 | bǐjìběn
铅笔 | qiānbǐ
文章 | wénzhāng
句子 | jùzi
故事 | gùshi
提高 | tígāo
水平 | shuǐpíng
解决 | jiějué
简单 | jiǎndān
认真 | rènzhēn
努力 | nǔlì
总结 | zǒngjié
经验 | jīngyàn
经理 | jīnglǐ
会议 | huìyì
办公室 | bàngōngshì
同事 | tóngshì
工资 | gōngzī
职业 | zhíyè
专业 | zhuānyè
计划 | jìhuà
安排 | ānpái
完成 | wánchéng
负责 | fùzé
能力 | nénglì
机会 | jīhuì
成功 | chénggōng
失败 | shībài
选择 | xuǎnzé
决定 | juédìng
参加 | cānjiā
留学 | liúxué
毕业 | bìyè
研究 | yánjiū
研究生 | yánjiūshēng
教授 | jiàoshòu
校长 | xiàozhǎng
图书馆 | túshūguǎn
课程 | kèchéng
知识 | zhīshi
理解 | lǐjiě
了解 | liǎojiě
记得 | jìde
忘记 | wàngjì
注意 | zhùyì
要求 | yāoqiú
规定 | guīdìng
材料 | cáiliào
报告 | bàogào
文件 | wénjiàn
电子邮件 | diànzǐ yóujiàn
打印 | dǎyìn
网站 | wǎngzhàn
信息 | xìnxī
通知 | tōngzhī
联系 | liánxì
解释 | jiěshì
讨论 | tǎolùn
意见 | yìjiàn
建议 | jiànyì
同意 | tóngyì
反对 | fǎnduì
面试 | miànshì
申请 | shēnqǐng
加班 | jiābān
请假 | qǐngjià
出差 | chūchāi
顾客 | gùkè
任务 | rènwu
目标 | mùbiāo
效果 | xiàoguǒ
方法 | fāngfǎ
办法 | bànfǎ
过程 | guòchéng
结果 | jiéguǒ
原因 | yuányīn
重点 | zhòngdiǎn
内容 | nèiróng
题目 | tímù
答案 | dá'àn
错误 | cuòwù
正确 | zhèngquè
翻译 | fānyì
普通话 | pǔtōnghuà
语法 | yǔfǎ
阅读 | yuèdú
教育 | jiàoyù
学期 | xuéqī
