# theme: 생활과 건강
# unit: voca-3-u002
咳嗽 | késou
肚子 | dùzi
耳朵 | ěrduo
鼻子 | bízi
脸 | liǎn
头发 | tóufa
牙齿 | yáchǐ
皮肤 | pífū
腿 | tuǐ
打针 | dǎzhēn
住院 | zhùyuàn
出院 | chūyuàn
治疗 | zhìliáo
难受 | nánshòu
饱 | bǎo
胖 | pàng
瘦 | shòu
减肥 | jiǎnféi
体重 | tǐzhòng
身高 | shēngāo
蔬菜 | shūcài
葡萄 | pútao
蛋糕 | dàngāo
饮料 | yǐnliào
矿泉水 | kuàngquánshuǐ
咸 | xián
辣 | là
酸 | suān
苦 | kǔ
味道 | wèidao
厨房 | chúfáng
冰箱 | bīngxiāng
空调 | kōngtiáo
洗手间 | xǐshǒujiān
毛巾 | máojīn
牙膏 | yágāo
镜子 | jìngzi
被子 | bèizi
沙发 | shāfā
灯 | dēng
楼梯 | lóutī
电梯 | diàntī
邻居 | línjū
搬家 | bānjiā
客厅 | kètīng
卧室 | wòshì
阳台 | yángtái
打扫 | dǎsǎo
脏 | zāng
垃圾 | lājī
购物 | gòuwù
价格 | jiàgé
打折 | dǎzhé
裙子 | qúnzi
衬衫 | chènshān
皮鞋 | píxié
袜子 | wàzi
眼镜 | yǎnjìng
雨伞 | yǔsǎn
季节 | jìjié
春天 | chūntiān
夏天 | xiàtiān
秋天 | qiūtiān
冬天 | dōngtiān
刮风 | guāfēng
温度 | wēndù
暖和 | nuǎnhuo
凉快 | liángkuai
环境 | huánjìng
空气 | kōngqì
安静 | ānjìng
习惯 | xíguàn
生活 | shēnghuó
爬山 | páshān
保护 | bǎohù
危险 | wēixiǎn
安全 | ānquán
小心 | xiǎoxīn
抽烟 | chōuyān
禁止 | jìnzhǐ
熊猫 | xióngmāo
鸟 | niǎo
花园 | huāyuán
草 | cǎo
树 | shù
肩膀 | jiānbǎng
脖子 | bózi
眉毛 | méimao
嘴唇 | zuǐchún
手指 | shǒuzhǐ
舌头 | shétou
膝盖 | xīgài
指甲 | zhǐjia
胡子 | húzi
胃口 | wèikǒu
着凉 | zháoliáng
出汗 | chūhàn
打喷嚏 | dǎ pēnti
熬夜 | áoyè
轻松 | qīngsōng
