# theme: 교통과 여행
# unit: voca-3-u003
交通 | jiāotōng
公共汽车 | gōnggòng qìchē
船 | chuán
航班 | hángbān
签证 | qiānzhèng
行李箱 | xínglixiāng
登机牌 | dēngjīpái
起飞 | qǐfēi
降落 | jiàngluò
到达 | dàodá
出发 | chūfā
经过 | jīngguò
路口 | lùkǒu
红绿灯 | hónglǜdēng
堵车 | dǔchē
加油站 | jiāyóuzhàn
停车场 | tíngchēchǎng
方向 | fāngxiàng
东边 | dōngbian
西边 | xībian
南方 | nánfāng
北方 | běifāng
附近 | fùjìn
中间 | zhōngjiān
对面 | duìmiàn
导游 | dǎoyóu
旅馆 | lǚguǎn
预订 | yùdìng
车票 | chēpiào
门票 | ménpiào
景点 | jǐngdiǎn
参观 | cānguān
博物馆 | bówùguǎn
城市 | chéngshì
农村 | nóngcūn
首都 | shǒudū
世界 | shìjiè
长城 | Chángchéng
地方 | dìfang
街道 | jiēdào
马路 | mǎlù
桥 | qiáo
河 | hé
海边 | hǎibiān
沙滩 | shātān
森林 | sēnlín
草原 | cǎoyuán
照相机 | zhàoxiàngjī
拍照 | pāizhào
纪念品 | jìniànpǐn
乘客 | chéngkè
速度 | sùdù
准时 | zhǔnshí
迟到 | chídào
晚点 | wǎndiǎn
换乘 | huànchéng
车站 | chēzhàn
终点 | zhōngdiǎn
起点 | qǐdiǎn
距离 | jùlí
公里 | gōnglǐ
拐 | guǎi
迷路 | mílù
问路 | wènlù
打车 | dǎchē
驾照 | jiàzhào
高速公路 | gāosù gōnglù
高铁 | gāotiě
座位 | zuòwèi
窗户 | chuānghu
安检 | ānjiǎn
海关 | hǎiguān
行程 | xíngchéng
游客 | yóukè
旅行团 | lǚxíngtuán
住宿 | zhùsù
退房 | tuìfáng
入住 | rùzhù
钥匙 | yàoshi
地址 | dìzhǐ
国际 | guójì
外国 | wàiguó
气候 | qìhòu
天气预报 | tiānqì yùbào
阴天 | yīntiān
兑换 | duìhuàn
汇率 | huìlǜ
人民币 | rénmínbì
美元 | měiyuán
邮局 | yóujú
明信片 | míngxìnpiàn
安全带 | ānquándài
轮船 | lúnchuán
出口 | chūkǒu
入口 | rùkǒu
售票处 | shòupiàochù
排队 | páiduì
路线 | lùxiàn
一路平安 | yílù píng'ān
一路顺风 | yílù shùnfēng
