# theme: 부사와 보어 — 其实·突然
# unit: voca-3-u005
其实 | qíshí
突然 | tūrán
几乎 | jīhū
简直 | jiǎnzhí
果然 | guǒrán
居然 | jūrán
竟然 | jìngrán
难道 | nándào
究竟 | jiūjìng
到底 | dàodǐ
尤其 | yóuqí
十分 | shífēn
更加 | gèngjiā
忽然 | hūrán
最好 | zuìhǎo
千万 | qiānwàn
往往 | wǎngwǎng
偶尔 | ǒu'ěr
刚刚 | gānggāng
立刻 | lìkè
赶快 | gǎnkuài
赶紧 | gǎnjǐn
渐渐 | jiànjiàn
逐渐 | zhújiàn
仍然 | réngrán
本来 | běnlái
原来 | yuánlái
确实 | quèshí
的确 | díquè
肯定 | kěndìng
也许 | yěxǔ
大概 | dàgài
恐怕 | kǒngpà
好像 | hǎoxiàng
似乎 | sìhū
只好 | zhǐhǎo
不得不 | bùdébù
差不多 | chàbuduō
差点儿 | chàdiǎnr
一边 | yìbiān
同时 | tóngshí
首先 | shǒuxiān
其次 | qícì
最后 | zuìhòu
另外 | lìngwài
并且 | bìngqiě
不但 | búdàn
只要 | zhǐyào
只有 | zhǐyǒu
即使 | jíshǐ
不管 | bùguǎn
无论 | wúlùn
既然 | jìrán
于是 | yúshì
因此 | yīncǐ
关于 | guānyú
根据 | gēnjù
按照 | ànzhào
除了 | chúle
对于 | duìyú
通过 | tōngguò
随着 | suízhe
甚至 | shènzhì
却 | què
挺 | tǐng
稍微 | shāowēi
有点儿 | yǒudiǎnr
起来 | qǐlai
下去 | xiàqu
出来 | chūlai
过来 | guòlai
过去 | guòqu
上来 | shànglai
下来 | xiàlai
出去 | chūqu
听不懂 | tīng bu dǒng
来不及 | láibují
来得及 | láidejí
看起来 | kàn qǐlai
想起来 | xiǎng qǐlai
亲自 | qīnzì
故意 | gùyì
专门 | zhuānmén
顺便 | shùnbiàn
随便 | suíbiàn
到处 | dàochù
一般 | yìbān
平时 | píngshí
从来 | cónglái
当时 | dāngshí
永远 | yǒngyuǎn
按时 | ànshí
及时 | jíshí
真正 | zhēnzhèng
完全 | wánquán
全部 | quánbù
一切 | yíqiè
至少 | zhìshǎo
左右 | zuǒyòu
大约 | dàyuē
