# theme: 사회와 문화
# unit: voca-4-u001
社会 | shèhuì
传统 | chuántǒng
风俗 | fēngsú
习俗 | xísú
民族 | mínzú
民间 | mínjiān
文明 | wénmíng
道德 | dàodé
平等 | píngděng
公平 | gōngpíng
自由 | zìyóu
权利 | quánlì
义务 | yìwù
责任 | zérèn
法律 | fǎlǜ
规则 | guīzé
纪律 | jìlǜ
允许 | yǔnxǔ
公民 | gōngmín
居民 | jūmín
群众 | qúnzhòng
老百姓 | lǎobǎixìng
人口 | rénkǒu
年龄 | niánlíng
性别 | xìngbié
国籍 | guójí
身份 | shēnfèn
父亲 | fùqīn
母亲 | mǔqīn
孙子 | sūnzi
青少年 | qīngshàonián
访问 | fǎngwèn
交往 | jiāowǎng
彼此 | bǐcǐ
共同 | gòngtóng
集体 | jítǐ
个人 | gèrén
团结 | tuánjié
组织 | zǔzhī
活动 | huódòng
举办 | jǔbàn
举行 | jǔxíng
参与 | cānyù
庆祝 | qìngzhù
纪念 | jìniàn
京剧 | jīngjù
艺术 | yìshù
表演 | biǎoyǎn
演出 | yǎnchū
演员 | yǎnyuán
观众 | guānzhòng
舞台 | wǔtái
世纪 | shìjì
古代 | gǔdài
现代 | xiàndài
当代 | dāngdài
功夫 | gōngfu
书法 | shūfǎ
长江 | Chángjiāng
郊区 | jiāoqū
地区 | dìqū
当地 | dāngdì
全球 | quánqiú
大使馆 | dàshǐguǎn
方言 | fāngyán
风格 | fēnggé
特色 | tèsè
流行 | liúxíng
现象 | xiànxiàng
和平 | hépíng
战争 | zhànzhēng
警察 | jǐngchá
律师 | lǜshī
法院 | fǎyuàn
违反 | wéifǎn
遵守 | zūnshǒu
公共 | gōnggòng
志愿者 | zhìyuànzhě
爱心 | àixīn
同情 | tóngqíng
关注 | guānzhù
地位 | dìwèi
代表 | dàibiǎo
人民 | rénmín
政府 | zhèngfǔ
人才 | réncái
价值 | jiàzhí
思想 | sīxiǎng
观念 | guānniàn
烤鸭 | kǎoyā
小吃 | xiǎochī
家乡 | jiāxiāng
故乡 | gùxiāng
杂技 | zájì
中秋节 | Zhōngqiūjié
端午节 | Duānwǔjié
国庆节 | Guóqìngjié
乡村 | xiāngcūn
太极拳 | tàijíquán
民歌 | míngē
