# theme: 경제와 소비
# unit: voca-4-u002
经济 | jīngjì
收入 | shōurù
奖金 | jiǎngjīn
税 | shuì
存 | cún
取 | qǔ
贷款 | dàikuǎn
信用卡 | xìnyòngkǎ
现金 | xiànjīn
零钱 | língqián
付款 | fùkuǎn
免费 | miǎnfèi
消费 | xiāofèi
售货员 | shòuhuòyuán
商品 | shāngpǐn
产品 | chǎnpǐn
品牌 | pǐnpái
质量 | zhìliàng
数量 | shùliàng
网购 | wǎnggòu
退货 | tuìhuò
发票 | fāpiào
收据 | shōujù
合同 | hétong
交易 | jiāoyì
贸易 | màoyì
进口 | jìnkǒu
投资 | tóuzī
股票 | gǔpiào
企业 | qǐyè
工厂 | gōngchǎng
生产 | shēngchǎn
生意 | shēngyi
赚 | zhuàn
亏 | kuī
成本 | chéngběn
利润 | lìrùn
竞争 | jìngzhēng
发展 | fāzhǎn
增加 | zēngjiā
增长 | zēngzhǎng
减少 | jiǎnshǎo
降低 | jiàngdī
上涨 | shàngzhǎng
下降 | xiàjiàng
涨价 | zhǎngjià
节约 | jiéyuē
浪费 | làngfèi
省 | shěng
剩 | shèng
花费 | huāfèi
费用 | fèiyong
租 | zū
房租 | fángzū
房东 | fángdōng
押金 | yājīn
保险 | bǎoxiǎn
预算 | yùsuàn
账户 | zhànghù
存款 | cúnkuǎn
富 | fù
穷 | qióng
贫穷 | pínqióng
财富 | cáifù
资金 | zījīn
经营 | jīngyíng
推销 | tuīxiāo
销售 | xiāoshòu
服务 | fúwù
标准 | biāozhǔn
规模 | guīmó
比例 | bǐlì
百分之 | bǎifēnzhī
亿 | yì
倍 | bèi
份 | fèn
盒子 | hézi
塑料袋 | sùliàodài
包装 | bāozhuāng
家具 | jiājù
洗衣机 | xǐyījī
巧克力 | qiǎokèlì
饼干 | bǐnggān
西红柿 | xīhóngshì
值得 | zhíde
值 | zhí
划算 | huásuàn
换钱 | huànqián
刷卡 | shuākǎ
支付 | zhīfù
账单 | zhàngdān
收费 | shōufèi
价钱 | jiàqian
便利店 | biànlìdiàn
快递 | kuàidì
需求 | xūqiú
供应 | gōngyìng
农业 | nóngyè
工业 | gōngyè
产业 | chǎnyè
