# theme: 일과 직장
# unit: voca-4-u003
单位 | dānwèi
部门 | bùmén
岗位 | gǎngwèi
公务员 | gōngwùyuán
秘书 | mìshū
领导 | lǐngdǎo
老板 | lǎobǎn
员工 | yuángōng
职员 | zhíyuán
工程师 | gōngchéngshī
师傅 | shīfu
作家 | zuòjiā
导演 | dǎoyǎn
招聘 | zhāopìn
应聘 | yìngpìn
简历 | jiǎnlì
合格 | hégé
技能 | jìnéng
本领 | běnlǐng
方案 | fāng'àn
效率 | xiàolǜ
成果 | chéngguǒ
成就 | chéngjiù
休假 | xiūjià
辞职 | cízhí
退休 | tuìxiū
失业 | shīyè
就业 | jiùyè
创业 | chuàngyè
商量 | shāngliang
表格 | biǎogé
复印 | fùyìn
传真 | chuánzhēn
签字 | qiānzì
合作 | hézuò
团队 | tuánduì
配合 | pèihé
客户 | kèhù
业务 | yèwù
项目 | xiàngmù
待遇 | dàiyù
福利 | fúlì
压力 | yālì
辛苦 | xīnkǔ
提前 | tíqián
推迟 | tuīchí
处理 | chǔlǐ
办理 | bànlǐ
管理 | guǎnlǐ
负担 | fùdān
机构 | jīgòu
机关 | jīguān
工具 | gōngjù
设备 | shèbèi
操作 | cāozuò
修理 | xiūlǐ
维修 | wéixiū
提醒 | tíxǐng
批准 | pīzhǔn
拒绝 | jùjué
接受 | jiēshòu
奖励 | jiǎnglì
主动 | zhǔdòng
职位 | zhíwèi
兼职 | jiānzhí
实习 | shíxí
培训 | péixùn
劳动 | láodòng
工人 | gōngrén
农民 | nóngmín
厨师 | chúshī
制度 | zhìdù
手续 | shǒuxù
对手 | duìshǒu
代价 | dàijià
挑战 | tiǎozhàn
事业 | shìyè
交 | jiāo
改进 | gǎijìn
调整 | tiáozhěng
关键 | guānjiàn
进行 | jìnxíng
开展 | kāizhǎn
主任 | zhǔrèn
值班 | zhíbān
报酬 | bàochou
开除 | kāichú
胜任 | shèngrèn
分工 | fēngōng
日程 | rìchéng
期限 | qīxiàn
名片 | míngpiàn
保安 | bǎo'ān
会计 | kuàijì
职工 | zhígōng
工作量 | gōngzuòliàng
助理 | zhùlǐ
打工 | dǎgōng
上岗 | shànggǎng
报销 | bàoxiāo
