# theme: 교육과 연구
# unit: voca-4-u004
博士 | bóshì
硕士 | shuòshì
本科 | běnkē
毕业生 | bìyèshēng
学分 | xuéfēn
教材 | jiàocái
报名 | bàomíng
录取 | lùqǔ
入学 | rùxué
测验 | cèyàn
分数 | fēnshù
及格 | jígé
填空 | tiánkòng
词语 | cíyǔ
预习 | yùxí
橡皮 | xiàngpí
日记 | rìjì
论文 | lùnwén
调查 | diàochá
分析 | fēnxī
理论 | lǐlùn
学问 | xuéwen
学术 | xuéshù
实践 | shíjiàn
记忆 | jìyì
讲座 | jiǎngzuò
奖学金 | jiǎngxuéjīn
留学生 | liúxuéshēng
学费 | xuéfèi
寒假 | hánjià
暑假 | shǔjià
班长 | bānzhǎng
操场 | cāochǎng
宿舍 | sùshè
教学 | jiàoxué
辅导 | fǔdǎo
指导 | zhǐdǎo
培养 | péiyǎng
基础 | jīchǔ
程度 | chéngdù
思考 | sīkǎo
考虑 | kǎolǜ
判断 | pànduàn
证明 | zhèngmíng
说明 | shuōmíng
例如 | lìrú
举例 | jǔlì
概念 | gàiniàn
范围 | fànwéi
重视 | zhòngshì
掌握 | zhǎngwò
积累 | jīlěi
参考 | cānkǎo
资料 | zīliào
地理 | dìlǐ
化学 | huàxué
物理 | wùlǐ
哲学 | zhéxué
文学 | wénxué
科目 | kēmù
考生 | kǎoshēng
试卷 | shìjuàn
准确 | zhǔnquè
学者 | xuézhě
专家 | zhuānjiā
导师 | dǎoshī
学院 | xuéyuàn
高中 | gāozhōng
初中 | chūzhōng
幼儿园 | yòu'éryuán
小学生 | xiǎoxuéshēng
教练 | jiàoliàn
训练 | xùnliàn
结论 | jiélùn
观点 | guāndiǎn
看法 | kànfǎ
主题 | zhǔtí
页 | yè
篇 | piān
拼音 | pīnyīn
字典 | zìdiǎn
请教 | qǐngjiào
提问 | tíwèn
学位 | xuéwèi
成长 | chéngzhǎng
智力 | zhìlì
天才 | tiāncái
考上 | kǎoshàng
词汇 | cíhuì
作文 | zuòwén
课本 | kèběn
听力 | tīnglì
粉笔 | fěnbǐ
语文 | yǔwén
标点 | biāodiǎn
段落 | duànluò
教师 | jiàoshī
院系 | yuànxì
开学 | kāixué
放学 | fàngxué
