# theme: 환경과 자원
# unit: voca-4-u005
环保 | huánbǎo
污染 | wūrǎn
垃圾桶 | lājītǒng
回收 | huíshōu
资源 | zīyuán
能源 | néngyuán
石油 | shíyóu
煤 | méi
节能 | jiénéng
节省 | jiéshěng
树林 | shùlín
植物 | zhíwù
叶子 | yèzi
棵 | kē
草地 | cǎodì
海洋 | hǎiyáng
沙漠 | shāmò
土地 | tǔdì
土 | tǔ
石头 | shítou
山区 | shānqū
自然 | zìrán
大自然 | dàzìrán
地球 | dìqiú
气温 | qìwēn
阳光 | yángguāng
云 | yún
雾 | wù
雾霾 | wùmái
暴雨 | bàoyǔ
台风 | táifēng
地震 | dìzhèn
洪水 | hóngshuǐ
灾害 | zāihài
干旱 | gānhàn
温暖 | wēnnuǎn
潮湿 | cháoshī
干燥 | gānzào
冬季 | dōngjì
夏季 | xiàjì
春季 | chūnjì
秋季 | qiūjì
老虎 | lǎohǔ
猴子 | hóuzi
野生 | yěshēng
生物 | shēngwù
生命 | shēngmìng
生存 | shēngcún
消失 | xiāoshī
排放 | páifàng
塑料 | sùliào
分类 | fēnlèi
利用 | lìyòng
重复 | chóngfù
使用 | shǐyòng
充分 | chōngfèn
合理 | hélǐ
严重 | yánzhòng
危害 | wēihài
破坏 | pòhuài
改善 | gǎishàn
恢复 | huīfù
防止 | fángzhǐ
控制 | kòngzhì
限制 | xiànzhì
措施 | cuòshī
采取 | cǎiqǔ
绿色 | lǜsè
清洁 | qīngjié
乱 | luàn
扔 | rēng
捡 | jiǎn
收拾 | shōushi
整理 | zhěnglǐ
擦 | cā
自来水 | zìláishuǐ
木头 | mùtou
电池 | diànchí
太阳能 | tàiyángnéng
汽油 | qìyóu
周围 | zhōuwéi
粮食 | liángshi
种 | zhòng
浇水 | jiāoshuǐ
景色 | jǐngsè
美丽 | měilì
噪音 | zàoyīn
光 | guāng
能量 | néngliàng
普遍 | pǔbiàn
竹子 | zhúzi
岛 | dǎo
沙子 | shāzi
闪电 | shǎndiàn
降温 | jiàngwēn
海浪 | hǎilàng
蓝天 | lántiān
野外 | yěwài
天然 | tiānrán
缺少 | quēshǎo
