# theme: 과학 기술
# unit: voca-4-u006
技术 | jìshù
科技 | kējì
发明 | fāmíng
实验 | shíyàn
数据 | shùjù
软件 | ruǎnjiàn
硬件 | yìngjiàn
程序 | chéngxù
系统 | xìtǒng
机器 | jīqì
机器人 | jīqìrén
人工智能 | réngōng zhìnéng
智能 | zhìnéng
密码 | mìmǎ
下载 | xiàzài
上传 | shàngchuán
安装 | ānzhuāng
升级 | shēngjí
功能 | gōngnéng
充电 | chōngdiàn
数码 | shùmǎ
屏幕 | píngmù
键盘 | jiànpán
鼠标 | shǔbiāo
复制 | fùzhì
粘贴 | zhāntiē
删除 | shānchú
保存 | bǎocún
扫描 | sǎomiáo
卫星 | wèixīng
宇宙 | yǔzhòu
太空 | tàikōng
火箭 | huǒjiàn
飞船 | fēichuán
航天 | hángtiān
星球 | xīngqiú
月球 | yuèqiú
原理 | yuánlǐ
公式 | gōngshì
测量 | cèliáng
测试 | cèshì
检测 | jiǎncè
观察 | guānchá
推测 | tuīcè
模型 | móxíng
样本 | yàngběn
金属 | jīnshǔ
零件 | língjiàn
仪器 | yíqì
显微镜 | xiǎnwēijìng
望远镜 | wàngyuǎnjìng
芯片 | xīnpiàn
信号 | xìnhào
电器 | diànqì
导航 | dǎoháng
定位 | dìngwèi
自动 | zìdòng
遥控 | yáokòng
电源 | diànyuán
开关 | kāiguān
插座 | chāzuò
电线 | diànxiàn
故障 | gùzhàng
损坏 | sǔnhuài
更新 | gēngxīn
创新 | chuàngxīn
突破 | tūpò
先进 | xiānjìn
高科技 | gāokējì
科学家 | kēxuéjiā
工程 | gōngchéng
应用 | yìngyòng
精确 | jīngquè
误差 | wùchā
规律 | guīlǜ
结构 | jiégòu
成分 | chéngfèn
元素 | yuánsù
分子 | fēnzǐ
原子 | yuánzǐ
细胞 | xìbāo
基因 | jīyīn
重量 | zhòngliàng
长度 | chángdù
面积 | miànjī
体积 | tǐjī
计算机 | jìsuànjī
编程 | biānchéng
代码 | dàimǎ
二维码 | èrwéimǎ
无线 | wúxiàn
激光 | jīguāng
电流 | diànliú
重力 | zhònglì
发射 | fāshè
探索 | tànsuǒ
虚拟 | xūnǐ
账号 | zhànghào
登录 | dēnglù
注册 | zhùcè
