# theme: 정치와 정책
# unit: voca-5-u001
政治 | zhèngzhì
政策 | zhèngcè
政权 | zhèngquán
政党 | zhèngdǎng
党派 | dǎngpài
执政 | zhízhèng
总统 | zǒngtǒng
总理 | zǒnglǐ
主席 | zhǔxí
首脑 | shǒunǎo
领袖 | lǐngxiù
官员 | guānyuán
干部 | gànbù
部长 | bùzhǎng
议会 | yìhuì
议员 | yìyuán
选举 | xuǎnjǔ
投票 | tóupiào
选民 | xuǎnmín
竞选 | jìngxuǎn
候选人 | hòuxuǎnrén
当选 | dāngxuǎn
任命 | rènmìng
任期 | rènqī
就职 | jiùzhí
卸任 | xièrèn
民主 | mínzhǔ
专制 | zhuānzhì
共和国 | gònghéguó
主权 | zhǔquán
领土 | lǐngtǔ
边境 | biānjìng
外交 | wàijiāo
外交官 | wàijiāoguān
大使 | dàshǐ
领事馆 | lǐngshìguǎn
会谈 | huìtán
谈判 | tánpàn
协议 | xiéyì
条约 | tiáoyuē
宣布 | xuānbù
联合国 | Liánhéguó
联盟 | liánméng
同盟 | tóngméng
双边 | shuāngbiān
多边 | duōbiān
冲突 | chōngtū
军事 | jūnshì
国防 | guófáng
军队 | jūnduì
改革 | gǎigé
开放 | kāifàng
方针 | fāngzhēn
纲领 | gānglǐng
规划 | guīhuà
战略 | zhànlüè
策略 | cèlüè
实施 | shíshī
推行 | tuīxíng
落实 | luòshí
执行 | zhíxíng
贯彻 | guànchè
制定 | zhìdìng
颁布 | bānbù
出台 | chūtái
调控 | tiáokòng
行政 | xíngzhèng
中央 | zhōngyāng
省份 | shěngfèn
基层 | jīcéng
官方 | guānfāng
权力 | quánlì
权威 | quánwēi
统治 | tǒngzhì
决策 | juécè
民意 | mínyì
公众 | gōngzhòng
国民 | guómín
口号 | kǒuhào
立场 | lìchǎng
主张 | zhǔzhāng
倡导 | chàngdǎo
呼吁 | hūyù
抗议 | kàngyì
示威 | shìwēi
游行 | yóuxíng
拥护 | yōnghù
腐败 | fǔbài
廉洁 | liánjié
监督 | jiāndū
透明 | tòumíng
公开 | gōngkāi
国务院 | Guówùyuàn
峰会 | fēnghuì
制裁 | zhìcái
援助 | yuánzhù
霸权 | bàquán
分裂 | fēnliè
危机 | wēijī
局势 | júshì
