# theme: 기업과 경영
# unit: voca-5-u003
集团 | jítuán
总部 | zǒngbù
分公司 | fēngōngsī
子公司 | zǐgōngsī
管理层 | guǎnlǐcéng
董事长 | dǒngshìzhǎng
董事会 | dǒngshìhuì
总裁 | zǒngcái
总经理 | zǒngjīnglǐ
主管 | zhǔguǎn
股东 | gǔdōng
创始人 | chuàngshǐrén
创办 | chuàngbàn
合伙 | héhuǒ
合伙人 | héhuǒrén
雇员 | gùyuán
雇佣 | gùyōng
录用 | lùyòng
聘请 | pìnqǐng
试用期 | shìyòngqī
薪水 | xīnshui
加薪 | jiāxīn
晋升 | jìnshēng
升职 | shēngzhí
解雇 | jiěgù
裁员 | cáiyuán
跳槽 | tiàocáo
职务 | zhíwù
职责 | zhízé
绩效 | jìxiào
考核 | kǎohé
业绩 | yèjì
营业 | yíngyè
营销 | yíngxiāo
销量 | xiāoliàng
亏损 | kuīsǔn
盈利 | yínglì
破产 | pòchǎn
倒闭 | dǎobì
收购 | shōugòu
兼并 | jiānbìng
合并 | hébìng
上市 | shàngshì
签订 | qiāndìng
签约 | qiānyuē
订单 | dìngdān
供应商 | gōngyìngshāng
采购 | cǎigòu
库存 | kùcún
生产线 | shēngchǎnxiàn
运营 | yùnyíng
运作 | yùnzuò
规章 | guīzhāng
流程 | liúchéng
决议 | juéyì
汇报 | huìbào
预期 | yùqī
风险 | fēngxiǎn
机遇 | jīyù
优势 | yōushì
劣势 | lièshì
转型 | zhuǎnxíng
扩张 | kuòzhāng
拓展 | tuòzhǎn
客服 | kèfú
售后 | shòuhòu
商务 | shāngwù
商业 | shāngyè
商人 | shāngrén
协商 | xiéshāng
办公 | bàngōng
办事处 | bànshìchù
下属 | xiàshǔ
上司 | shàngsi
民营 | mínyíng
国有 | guóyǒu
私营 | sīyíng
外资 | wàizī
跨国 | kuàguó
连锁 | liánsuǒ
加盟 | jiāméng
经销商 | jīngxiāoshāng
代理 | dàilǐ
总监 | zǒngjiān
年薪 | niánxīn
雇主 | gùzhǔ
老总 | lǎozǒng
招标 | zhāobiāo
投标 | tóubiāo
样品 | yàngpǐn
考勤 | kǎoqín
企业家 | qǐyèjiā
经营者 | jīngyíngzhě
管理者 | guǎnlǐzhě
领导层 | lǐngdǎocéng
人事部 | rénshìbù
人力资源 | rénlì zīyuán
财务部 | cáiwùbù
在职 | zàizhí
离职 | lízhí
