# theme: 법과 권리
# unit: voca-5-u004
法规 | fǎguī
法令 | fǎlìng
法制 | fǎzhì
法治 | fǎzhì
宪法 | xiànfǎ
刑法 | xíngfǎ
民法 | mínfǎ
条款 | tiáokuǎn
条例 | tiáolì
法庭 | fǎtíng
法官 | fǎguān
检察院 | jiǎncháyuàn
检察官 | jiǎncháguān
警方 | jǐngfāng
公安 | gōng'ān
原告 | yuángào
被告 | bèigào
诉讼 | sùsòng
起诉 | qǐsù
上诉 | shàngsù
控告 | kònggào
指控 | zhǐkòng
审判 | shěnpàn
审理 | shěnlǐ
判决 | pànjué
判处 | pànchǔ
裁决 | cáijué
证据 | zhèngjù
证人 | zhèngrén
作证 | zuòzhèng
辩护 | biànhù
案件 | ànjiàn
案子 | ànzi
犯罪 | fànzuì
罪犯 | zuìfàn
嫌疑人 | xiányírén
嫌疑 | xiányí
罪行 | zuìxíng
罪名 | zuìmíng
无罪 | wúzuì
有罪 | yǒuzuì
刑罚 | xíngfá
处罚 | chǔfá
罚款 | fákuǎn
惩罚 | chéngfá
监狱 | jiānyù
拘留 | jūliú
逮捕 | dàibǔ
释放 | shìfàng
违法 | wéifǎ
合法 | héfǎ
非法 | fēifǎ
守法 | shǒufǎ
执法 | zhífǎ
立法 | lìfǎ
司法 | sīfǎ
权益 | quányì
人权 | rénquán
版权 | bǎnquán
专利 | zhuānlì
知识产权 | zhīshi chǎnquán
商标 | shāngbiāo
侵犯 | qīnfàn
侵权 | qīnquán
维护 | wéihù
保障 | bǎozhàng
捍卫 | hànwèi
申诉 | shēnsù
投诉 | tóusù
赔偿 | péicháng
索赔 | suǒpéi
补偿 | bǔcháng
纠纷 | jiūfēn
争议 | zhēngyì
调解 | tiáojiě
仲裁 | zhòngcái
和解 | héjiě
继承 | jìchéng
遗产 | yíchǎn
遗嘱 | yízhǔ
抚养 | fǔyǎng
赡养 | shànyǎng
监护 | jiānhù
契约 | qìyuē
效力 | xiàolì
生效 | shēngxiào
失效 | shīxiào
无效 | wúxiào
有效期 | yǒuxiàoqī
授权 | shòuquán
许可 | xǔkě
管辖 | guǎnxiá
正义 | zhèngyì
自卫 | zìwèi
盗窃 | dàoqiè
诈骗 | zhàpiàn
抢劫 | qiǎngjié
谋杀 | móushā
走私 | zǒusī
贿赂 | huìlù
