# theme: 사회 문제
# unit: voca-5-u005
老龄化 | lǎolínghuà
出生率 | chūshēnglǜ
生育 | shēngyù
养老 | yǎnglǎo
养老金 | yǎnglǎojīn
失业率 | shīyèlǜ
贫困 | pínkùn
差距 | chājù
分配 | fēnpèi
群体 | qúntǐ
弱势 | ruòshì
残疾人 | cánjírén
流浪 | liúlàng
乞丐 | qǐgài
救济 | jiùjì
慈善 | císhàn
捐款 | juānkuǎn
捐赠 | juānzèng
公益 | gōngyì
社保 | shèbǎo
医保 | yībǎo
住房 | zhùfáng
房价 | fángjià
租金 | zūjīn
城市化 | chéngshìhuà
城镇 | chéngzhèn
农民工 | nóngmíngōng
移民 | yímín
外来 | wàilái
户口 | hùkǒu
留守 | liúshǒu
犯罪率 | fànzuìlǜ
治安 | zhì'ān
暴力 | bàolì
家暴 | jiābào
虐待 | nüèdài
欺负 | qīfu
霸凌 | bàlíng
吸毒 | xīdú
毒品 | dúpǐn
赌博 | dǔbó
酗酒 | xùjiǔ
成瘾 | chéngyǐn
上瘾 | shàngyǐn
自杀 | zìshā
歧视 | qíshì
偏见 | piānjiàn
婚姻 | hūnyīn
单身 | dānshēn
独生子女 | dúshēng zǐnǚ
代沟 | dàigōu
空巢 | kōngcháo
诚信 | chéngxìn
公德 | gōngdé
素质 | sùzhì
风气 | fēngqì
网暴 | wǎngbào
沉迷 | chénmí
隐患 | yǐnhuàn
事故 | shìgù
灾难 | zāinàn
难民 | nànmín
饥饿 | jī'è
温饱 | wēnbǎo
小康 | xiǎokāng
阶层 | jiēcéng
阶级 | jiējí
中产 | zhōngchǎn
底层 | dǐcéng
边缘 | biānyuán
矛盾 | máodùn
趋势 | qūshì
恶化 | èhuà
加剧 | jiājù
严峻 | yánjùn
弊端 | bìduān
治理 | zhìlǐ
整治 | zhěngzhì
打击 | dǎjī
防范 | fángfàn
救助 | jiùzhù
帮扶 | bāngfú
扶贫 | fúpín
脱贫 | tuōpín
低保 | dībǎo
拥堵 | yōngdǔ
拥挤 | yōngjǐ
童工 | tónggōng
拐卖 | guǎimài
失踪 | shīzōng
流动 | liúdòng
社区 | shèqū
邻里 | línlǐ
独居 | dújū
流浪汉 | liúlànghàn
骗子 | piànzi
贫困户 | pínkùnhù
丁克 | dīngkè
啃老 | kěnlǎo
下岗 | xiàgǎng
