# theme: 환경 보호
# unit: voca-5-u007
生态 | shēngtài
生态系统 | shēngtài xìtǒng
废气 | fèiqì
废水 | fèishuǐ
尾气 | wěiqì
垃圾分类 | lājī fēnlèi
废物 | fèiwù
再生 | zàishēng
循环 | xúnhuán
可持续 | kě chíxù
减排 | jiǎnpái
低碳 | dītàn
碳排放 | tàn páifàng
二氧化碳 | èryǎnghuàtàn
温室效应 | wēnshì xiàoyìng
全球变暖 | quánqiú biànnuǎn
气候变化 | qìhòu biànhuà
沙尘暴 | shāchénbào
荒漠化 | huāngmòhuà
水土流失 | shuǐtǔ liúshī
植被 | zhíbèi
砍伐 | kǎnfá
植树 | zhíshù
绿化 | lǜhuà
造林 | zàolín
湿地 | shīdì
物种 | wùzhǒng
濒危 | bīnwēi
灭绝 | mièjué
野生动物 | yěshēng dòngwù
栖息地 | qīxīdì
保护区 | bǎohùqū
生物多样性 | shēngwù duōyàngxìng
风能 | fēngnéng
核能 | hénéng
清洁能源 | qīngjié néngyuán
煤炭 | méitàn
天然气 | tiānránqì
燃料 | ránliào
燃烧 | ránshāo
耗费 | hàofèi
消耗 | xiāohào
水资源 | shuǐ zīyuán
淡水 | dànshuǐ
自然灾害 | zìrán zāihài
海啸 | hǎixiào
酸雨 | suānyǔ
臭氧层 | chòuyǎngcéng
紫外线 | zǐwàixiàn
辐射 | fúshè
有毒 | yǒudú
毒素 | dúsù
化肥 | huàféi
农药 | nóngyào
一次性 | yícìxìng
降解 | jiàngjiě
分解 | fēnjiě
填埋 | tiánmái
焚烧 | fénshāo
污水 | wūshuǐ
净化 | jìnghuà
过滤 | guòlǜ
水质 | shuǐzhì
空气质量 | kōngqì zhìliàng
监测 | jiāncè
指标 | zhǐbiāo
超标 | chāobiāo
遏制 | èzhì
损害 | sǔnhài
威胁 | wēixié
平衡 | pínghéng
和谐 | héxié
冰川 | bīngchuān
极地 | jídì
海平面 | hǎipíngmiàn
生态平衡 | shēngtài pínghéng
倡议 | chàngyì
环保意识 | huánbǎo yìshi
绿色出行 | lǜsè chūxíng
公共交通 | gōnggòng jiāotōng
新能源 | xīnnéngyuán
开采 | kāicǎi
矿产 | kuàngchǎn
土壤 | tǔrǎng
耕地 | gēngdì
水源 | shuǐyuán
河流 | héliú
流域 | liúyù
候鸟 | hòuniǎo
珊瑚 | shānhú
动植物 | dòngzhíwù
捕捞 | bǔlāo
碳中和 | tàn zhōnghé
污染源 | wūrǎnyuán
污染物 | wūrǎnwù
排污 | páiwū
洪涝 | hónglào
水灾 | shuǐzāi
旱灾 | hànzāi
森林覆盖率 | sēnlín fùgàilǜ
