# theme: 문화와 예술
# unit: voca-5-u009
艺术家 | yìshùjiā
艺术品 | yìshùpǐn
作品 | zuòpǐn
创作 | chuàngzuò
灵感 | línggǎn
题材 | tícái
流派 | liúpài
美术 | měishù
绘画 | huìhuà
油画 | yóuhuà
国画 | guóhuà
水墨画 | shuǐmòhuà
雕塑 | diāosù
雕刻 | diāokè
摄影师 | shèyǐngshī
展览 | zhǎnlǎn
展览馆 | zhǎnlǎnguǎn
美术馆 | měishùguǎn
画廊 | huàláng
收藏 | shōucáng
乐器 | yuèqì
乐队 | yuèduì
演奏 | yǎnzòu
乐曲 | yuèqǔ
旋律 | xuánlǜ
节奏 | jiézòu
歌曲 | gēqǔ
歌词 | gēcí
合唱 | héchàng
独唱 | dúchàng
指挥 | zhǐhuī
交响乐 | jiāoxiǎngyuè
小提琴 | xiǎotíqín
古筝 | gǔzhēng
二胡 | èrhú
戏剧 | xìjù
话剧 | huàjù
戏曲 | xìqǔ
相声 | xiàngsheng
舞蹈 | wǔdǎo
芭蕾舞 | bālěiwǔ
编剧 | biānjù
剧本 | jùběn
角色 | juésè
主角 | zhǔjué
配角 | pèijué
票房 | piàofáng
影片 | yǐngpiàn
情节 | qíngjié
诗歌 | shīgē
诗人 | shīrén
散文 | sǎnwén
名著 | míngzhù
著作 | zhùzuò
长篇 | chángpiān
短篇 | duǎnpiān
寓言 | yùyán
童话 | tónghuà
神话 | shénhuà
修辞 | xiūcí
比喻 | bǐyù
描写 | miáoxiě
描绘 | miáohuì
塑造 | sùzào
形象 | xíngxiàng
意境 | yìjìng
审美 | shěnměi
欣赏 | xīnshǎng
鉴赏 | jiànshǎng
品味 | pǐnwèi
高雅 | gāoyǎ
通俗 | tōngsú
大众文化 | dàzhòng wénhuà
文艺 | wényì
文化产业 | wénhuà chǎnyè
多元 | duōyuán
跨文化 | kuà wénhuà
文化交流 | wénhuà jiāoliú
艺术节 | yìshùjié
颁奖 | bānjiǎng
奖项 | jiǎngxiàng
获奖 | huòjiǎng
杰作 | jiézuò
经典 | jīngdiǎn
原创 | yuánchuàng
改编 | gǎibiān
翻拍 | fānpāi
上映 | shàngyìng
首映 | shǒuyìng
彩排 | cǎipái
谢幕 | xièmù
喝彩 | hècǎi
偶像 | ǒuxiàng
才华 | cáihuá
技巧 | jìqiǎo
造型 | zàoxíng
色彩 | sècǎi
线条 | xiàntiáo
构图 | gòutú
篆刻 | zhuànkè
