# theme: 역사와 전통
# unit: voca-5-u010
近代 | jìndài
朝代 | cháodài
王朝 | wángcháo
皇帝 | huángdì
皇后 | huánghòu
帝王 | dìwáng
君主 | jūnzhǔ
大臣 | dàchén
宫殿 | gōngdiàn
皇宫 | huánggōng
王国 | wángguó
帝国 | dìguó
统一 | tǒngyī
战役 | zhànyì
战乱 | zhànluàn
起义 | qǐyì
革命 | gémìng
推翻 | tuīfān
侵略 | qīnlüè
入侵 | rùqīn
抵抗 | dǐkàng
英雄 | yīngxióng
祖先 | zǔxiān
后代 | hòudài
后裔 | hòuyì
部落 | bùluò
遗址 | yízhǐ
遗迹 | yíjì
文化遗产 | wénhuà yíchǎn
文物 | wénwù
古迹 | gǔjì
考古 | kǎogǔ
出土 | chūtǔ
挖掘 | wājué
古董 | gǔdǒng
史料 | shǐliào
史书 | shǐshū
记载 | jìzǎi
年代 | niándài
时期 | shíqī
时代 | shídài
公元 | gōngyuán
朝廷 | cháotíng
科举 | kējǔ
丝绸 | sīchóu
四大发明 | sì dà fāmíng
造纸术 | zàozhǐshù
印刷术 | yìnshuāshù
火药 | huǒyào
指南针 | zhǐnánzhēn
陶瓷 | táocí
瓷器 | cíqì
青铜器 | qīngtóngqì
剪纸 | jiǎnzhǐ
刺绣 | cìxiù
传承 | chuánchéng
传说 | chuánshuō
民俗 | mínsú
礼仪 | lǐyí
礼节 | lǐjié
传统节日 | chuántǒng jiérì
春联 | chūnlián
对联 | duìlián
鞭炮 | biānpào
灯笼 | dēnglong
舞狮 | wǔshī
庙会 | miàohuì
祭祀 | jìsì
祭祖 | jìzǔ
拜年 | bàinián
团圆 | tuányuán
孝顺 | xiàoshùn
孝道 | xiàodào
思想家 | sīxiǎngjiā
宗教 | zōngjiào
寺庙 | sìmiào
信仰 | xìnyǎng
典故 | diǎngù
古人 | gǔrén
古籍 | gǔjí
古典 | gǔdiǎn
历代 | lìdài
悠久 | yōujiǔ
起源 | qǐyuán
演变 | yǎnbiàn
发源地 | fāyuándì
兴盛 | xīngshèng
衰落 | shuāiluò
灭亡 | mièwáng
辉煌 | huīhuáng
沿袭 | yánxí
延续 | yánxù
复兴 | fùxīng
纪念馆 | jìniànguǎn
烈士 | lièshì
殖民 | zhímín
奴隶 | núlì
封建 | fēngjiàn
贵族 | guìzú
平民 | píngmín
