# theme: 서면어 부사·접속어 — 以便·迄今
# unit: voca-5-u014
以便 | yǐbiàn
迄今 | qìjīn
进而 | jìn'ér
由此 | yóucǐ
宁愿 | nìngyuàn
倘若 | tǎngruò
假使 | jiǎshǐ
以往 | yǐwǎng
换言之 | huàn yán zhī
综上所述 | zōng shàng suǒ shù
诸如 | zhūrú
再者 | zàizhě
此后 | cǐhòu
此前 | cǐqián
届时 | jièshí
迄今为止 | qìjīn wéizhǐ
当前 | dāngqián
如今 | rújīn
向来 | xiànglái
一向 | yíxiàng
历来 | lìlái
仍旧 | réngjiù
依旧 | yījiù
照样 | zhàoyàng
早已 | zǎoyǐ
随即 | suíjí
即将 | jíjiāng
将近 | jiāngjìn
逐步 | zhúbù
日益 | rìyì
日渐 | rìjiàn
陆续 | lùxù
相继 | xiāngjì
依次 | yīcì
纷纷 | fēnfēn
频频 | pínpín
屡次 | lǚcì
再三 | zàisān
一再 | yízài
亦 | yì
均 | jūn
皆 | jiē
尤为 | yóuwéi
格外 | géwài
极其 | jíqí
极为 | jíwéi
颇 | pō
过于 | guòyú
未免 | wèimiǎn
不免 | bùmiǎn
必然 | bìrán
必定 | bìdìng
务必 | wùbì
难以 | nányǐ
终究 | zhōngjiū
恰好 | qiàhǎo
恰恰 | qiàqià
何尝 | hécháng
毫无 | háowú
丝毫 | sīháo
暂且 | zànqiě
姑且 | gūqiě
尽快 | jǐnkuài
一概 | yígài
一律 | yílǜ
大致 | dàzhì
大体 | dàtǐ
为此 | wèicǐ
对此 | duìcǐ
据此 | jùcǐ
非但 | fēidàn
倒是 | dàoshì
与否 | yǔfǒu
好在 | hǎozài
故 | gù
果真 | guǒzhēn
直至 | zhízhì
之际 | zhījì
当即 | dāngjí
顿时 | dùnshí
骤然 | zhòurán
毅然 | yìrán
断然 | duànrán
时而 | shí'ér
事先 | shìxiān
预先 | yùxiān
起初 | qǐchū
原先 | yuánxiān
则 | zé
若 | ruò
假若 | jiǎruò
借以 | jièyǐ
随之 | suízhī
较为 | jiàowéi
更为 | gèngwéi
略微 | lüèwēi
至多 | zhìduō
起码 | qǐmǎ
大都 | dàdū
全然 | quánrán
