# theme: 사자성어 입문
# unit: voca-5-u015
一举两得 | yì jǔ liǎng dé
一帆风顺 | yì fān fēng shùn
半途而废 | bàn tú ér fèi
自言自语 | zì yán zì yǔ
千方百计 | qiān fāng bǎi jì
津津有味 | jīn jīn yǒu wèi
兴高采烈 | xìng gāo cǎi liè
莫名其妙 | mò míng qí miào
理所当然 | lǐ suǒ dāng rán
实事求是 | shí shì qiú shì
不可思议 | bù kě sī yì
络绎不绝 | luò yì bù jué
画蛇添足 | huà shé tiān zú
守株待兔 | shǒu zhū dài tù
亡羊补牢 | wáng yáng bǔ láo
对牛弹琴 | duì niú tán qín
井底之蛙 | jǐng dǐ zhī wā
掩耳盗铃 | yǎn ěr dào líng
刻舟求剑 | kè zhōu qiú jiàn
拔苗助长 | bá miáo zhù zhǎng
杞人忧天 | qǐ rén yōu tiān
叶公好龙 | yè gōng hào lóng
狐假虎威 | hú jiǎ hǔ wēi
自相矛盾 | zì xiāng máo dùn
塞翁失马 | sài wēng shī mǎ
胸有成竹 | xiōng yǒu chéng zhú
一心一意 | yì xīn yí yì
三心二意 | sān xīn èr yì
全心全意 | quán xīn quán yì
齐心协力 | qí xīn xié lì
各种各样 | gè zhǒng gè yàng
五颜六色 | wǔ yán liù sè
千变万化 | qiān biàn wàn huà
四面八方 | sì miàn bā fāng
七上八下 | qī shàng bā xià
乱七八糟 | luàn qī bā zāo
一模一样 | yì mú yí yàng
一目了然 | yí mù liǎo rán
一清二楚 | yì qīng èr chǔ
十全十美 | shí quán shí měi
一丝不苟 | yì sī bù gǒu
一无所有 | yì wú suǒ yǒu
一如既往 | yì rú jì wǎng
独一无二 | dú yī wú èr
不知不觉 | bù zhī bù jué
恍然大悟 | huǎng rán dà wù
迫不及待 | pò bù jí dài
与众不同 | yǔ zhòng bù tóng
众所周知 | zhòng suǒ zhōu zhī
想方设法 | xiǎng fāng shè fǎ
全力以赴 | quán lì yǐ fù
聚精会神 | jù jīng huì shén
专心致志 | zhuān xīn zhì zhì
坚持不懈 | jiān chí bú xiè
持之以恒 | chí zhī yǐ héng
脚踏实地 | jiǎo tà shí dì
循序渐进 | xún xù jiàn jìn
熟能生巧 | shú néng shēng qiǎo
温故知新 | wēn gù zhī xīn
举一反三 | jǔ yī fǎn sān
取长补短 | qǔ cháng bǔ duǎn
精益求精 | jīng yì qiú jīng
得不偿失 | dé bù cháng shī
事半功倍 | shì bàn gōng bèi
有条不紊 | yǒu tiáo bù wěn
井井有条 | jǐng jǐng yǒu tiáo
手忙脚乱 | shǒu máng jiǎo luàn
小心翼翼 | xiǎo xīn yì yì
大惊小怪 | dà jīng xiǎo guài
心平气和 | xīn píng qì hé
不慌不忙 | bù huāng bù máng
喜出望外 | xǐ chū wàng wài
哭笑不得 | kū xiào bù dé
依依不舍 | yī yī bù shě
情不自禁 | qíng bú zì jīn
无精打采 | wú jīng dǎ cǎi
垂头丧气 | chuí tóu sàng qì
目瞪口呆 | mù dèng kǒu dāi
忐忑不安 | tǎn tè bù ān
心甘情愿 | xīn gān qíng yuàn
满不在乎 | mǎn bú zài hu
自由自在 | zì yóu zì zài
无忧无虑 | wú yōu wú lǜ
名副其实 | míng fù qí shí
名不虚传 | míng bù xū chuán
举世闻名 | jǔ shì wén míng
家喻户晓 | jiā yù hù xiǎo
日新月异 | rì xīn yuè yì
翻天覆地 | fān tiān fù dì
与日俱增 | yǔ rì jù zēng
源源不断 | yuán yuán bú duàn
层出不穷 | céng chū bù qióng
各抒己见 | gè shū jǐ jiàn
畅所欲言 | chàng suǒ yù yán
异口同声 | yì kǒu tóng shēng
一言为定 | yì yán wéi dìng
助人为乐 | zhù rén wéi lè
舍己为人 | shě jǐ wèi rén
见义勇为 | jiàn yì yǒng wéi
尊老爱幼 | zūn lǎo ài yòu
