# theme: 국제 관계
# unit: voca-6-u001
领海 | lǐnghǎi
领空 | lǐngkōng
殖民地 | zhímíndì
帝国主义 | dìguó zhǔyì
盟友 | méngyǒu
结盟 | jiéméng
邦交 | bāngjiāo
建交 | jiànjiāo
断交 | duànjiāo
领事 | lǐngshì
使节 | shǐjié
照会 | zhàohuì
谴责 | qiǎnzé
禁运 | jìnyùn
封锁 | fēngsuǒ
干涉 | gānshè
内政 | nèizhèng
侵占 | qīnzhàn
吞并 | tūnbìng
争端 | zhēngduān
对峙 | duìzhì
对抗 | duìkàng
敌对 | díduì
缓和 | huǎnhé
斡旋 | wòxuán
调停 | tiáotíng
磋商 | cuōshāng
会晤 | huìwù
元首 | yuánshǒu
国事访问 | guóshì fǎngwèn
缔结 | dìjié
公约 | gōngyuē
协定 | xiédìng
签署 | qiānshǔ
互惠 | hùhuì
互利 | hùlì
共赢 | gòngyíng
单边 | dānbiān
格局 | géjú
多极化 | duōjíhuà
均势 | jūnshì
地缘政治 | dìyuán zhèngzhì
势力 | shìlì
阵营 | zhènyíng
冷战 | lěngzhàn
军备 | jūnbèi
裁军 | cáijūn
核武器 | héwǔqì
威慑 | wēishè
防务 | fángwù
驻军 | zhùjūn
维和 | wéihé
停火 | tínghuǒ
撤军 | chèjūn
流亡 | liúwáng
庇护 | bìhù
引渡 | yǐndù
豁免 | huòmiǎn
侨胞 | qiáobāo
华侨 | huáqiáo
恐怖主义 | kǒngbù zhǔyì
反恐 | fǎnkǒng
人道主义 | réndào zhǔyì
安理会 | Ānlǐhuì
否决权 | fǒujuéquán
成员国 | chéngyuánguó
常任理事国 | chángrèn lǐshìguó
观察员 | guāncháyuán
代表团 | dàibiǎotuán
共识 | gòngshí
分歧 | fēnqí
摩擦 | mócā
事态 | shìtài
挑衅 | tiǎoxìn
报复 | bàofù
反制 | fǎnzhì
牵制 | qiānzhì
抗衡 | kànghéng
睦邻 | mùlín
和平共处 | hépíng gòngchǔ
求同存异 | qiú tóng cún yì
国际法 | guójìfǎ
边界 | biānjiè
疆域 | jiāngyù
自决 | zìjué
附庸 | fùyōng
多边主义 | duōbiān zhǔyì
霸权主义 | bàquán zhǔyì
强权政治 | qiángquán zhèngzhì
全球治理 | quánqiú zhìlǐ
最惠国待遇 | zuìhuìguó dàiyù
外交辞令 | wàijiāo cílìng
宗主国 | zōngzhǔguó
领土完整 | lǐngtǔ wánzhěng
不结盟 | bù jiéméng
经济制裁 | jīngjì zhìcái
驱逐出境 | qūzhú chūjìng
缓冲区 | huǎnchōngqū
核扩散 | hékuòsàn
军备竞赛 | jūnbèi jìngsài
