# theme: 법률과 사법
# unit: voca-6-u003
法典 | fǎdiǎn
公诉 | gōngsù
庭审 | tíngshěn
开庭 | kāitíng
裁定 | cáidìng
宣判 | xuānpàn
当事人 | dāngshìrén
辩护人 | biànhùrén
证词 | zhèngcí
物证 | wùzhèng
举证 | jǔzhèng
质证 | zhìzhèng
陪审团 | péishěntuán
刑事 | xíngshì
民事 | mínshì
行政诉讼 | xíngzhèng sùsòng
徒刑 | túxíng
有期徒刑 | yǒuqī túxíng
无期徒刑 | wúqī túxíng
死刑 | sǐxíng
缓刑 | huǎnxíng
罚金 | fájīn
没收 | mòshōu
羁押 | jīyā
取保候审 | qǔbǎo hòushěn
服刑 | fúxíng
赦免 | shèmiǎn
减刑 | jiǎnxíng
假释 | jiǎshì
追诉 | zhuīsù
时效 | shíxiào
管辖权 | guǎnxiáquán
违约 | wéiyuē
违宪 | wéixiàn
著作权 | zhùzuòquán
抚养权 | fǔyǎngquán
监护人 | jiānhùrén
法人 | fǎrén
公证 | gōngzhèng
正当防卫 | zhèngdàng fángwèi
过失 | guòshī
受贿 | shòuhuì
行贿 | xínghuì
贪污 | tānwū
挪用 | nuóyòng
伪造 | wěizào
渎职 | dúzhí
程序正义 | chéngxù zhèngyì
无罪推定 | wúzuì tuīdìng
疑罪从无 | yí zuì cóng wú
量刑 | liàngxíng
酌情 | zhuóqíng
从轻 | cóngqīng
自首 | zìshǒu
立案 | lì'àn
侦查 | zhēnchá
搜查 | sōuchá
传唤 | chuánhuàn
通缉 | tōngjī
法律援助 | fǎlǜ yuánzhù
强制执行 | qiángzhì zhíxíng
废除 | fèichú
修订 | xiūdìng
司法解释 | sīfǎ jiěshì
判例 | pànlì
冤案 | yuān'àn
错案 | cuò'àn
平反 | píngfǎn
有法可依 | yǒu fǎ kě yī
违法必究 | wéifǎ bì jiū
判决书 | pànjuéshū
终审 | zhōngshěn
再审 | zàishěn
驳回 | bóhuí
撤诉 | chèsù
犯罪嫌疑人 | fànzuì xiányírén
共犯 | gòngfàn
主犯 | zhǔfàn
从犯 | cóngfàn
累犯 | lěifàn
诽谤 | fěibàng
诬告 | wūgào
伪证 | wěizhèng
合法权益 | héfǎ quányì
依法治国 | yīfǎ zhìguó
司法独立 | sīfǎ dúlì
继承权 | jìchéngquán
庭外和解 | tíngwài héjiě
不可抗力 | bùkěkànglì
刑事责任 | xíngshì zérèn
惩处 | chéngchǔ
严惩 | yánchéng
铁证如山 | tiězhèng rú shān
绳之以法 | shéng zhī yǐ fǎ
知法犯法 | zhī fǎ fàn fǎ
刑事诉讼 | xíngshì sùsòng
民事诉讼 | mínshì sùsòng
一审 | yīshěn
二审 | èrshěn
诉讼时效 | sùsòng shíxiào
