# theme: 과학 정책
# unit: voca-6-u008
自主创新 | zìzhǔ chuàngxīn
科技成果 | kējì chéngguǒ
成果转化 | chéngguǒ zhuǎnhuà
产学研 | chǎn xué yán
基础研究 | jīchǔ yánjiū
应用研究 | yìngyòng yánjiū
攻关 | gōngguān
瓶颈 | píngjǐng
短板 | duǎnbǎn
核心技术 | héxīn jìshù
前瞻 | qiánzhān
前瞻性 | qiánzhānxìng
战略性 | zhànlüèxìng
布局 | bùjù
资助 | zīzhù
拨款 | bōkuǎn
专项 | zhuānxiàng
孵化 | fūhuà
孵化器 | fūhuàqì
园区 | yuánqū
高新技术 | gāoxīn jìshù
数字化 | shùzìhuà
智能化 | zhìnénghuà
大数据 | dàshùjù
云计算 | yúnjìsuàn
半导体 | bàndǎotǐ
探测器 | tàncèqì
载人 | zàirén
空间站 | kōngjiānzhàn
可再生 | kězàishēng
储能 | chǔnéng
核电站 | hédiànzhàn
转基因 | zhuǎnjīyīn
伦理审查 | lúnlǐ shěnchá
科普 | kēpǔ
科学素养 | kēxué sùyǎng
素养 | sùyǎng
引进 | yǐnjìn
流失 | liúshī
人才流失 | réncái liúshī
开放共享 | kāifàng gòngxiǎng
共享 | gòngxiǎng
协同 | xiétóng
自主可控 | zìzhǔ kěkòng
卡脖子 | qiǎ bózi
迭代 | diédài
更新换代 | gēngxīn huàndài
颠覆性 | diānfùxìng
变革 | biàngé
革新 | géxīn
示范 | shìfàn
装置 | zhuāngzhì
数据库 | shùjùkù
网络安全 | wǎngluò ānquán
信息化 | xìnxīhuà
自动化 | zìdònghuà
新材料 | xīncáiliào
超导 | chāodǎo
勘探 | kāntàn
预警 | yùjǐng
防灾减灾 | fáng zāi jiǎn zāi
实地 | shídì
院士 | yuànshì
科学院 | kēxuéyuàn
攻克 | gōngkè
研制 | yánzhì
精度 | jīngdù
效能 | xiàonéng
能耗 | nénghào
宇航员 | yǔhángyuán
轨道 | guǐdào
科技创新 | kējì chuàngxīn
科研经费 | kēyán jīngfèi
探月 | tànyuè
基因编辑 | jīyīn biānjí
重点实验室 | zhòngdiǎn shíyànshì
创新型 | chuàngxīnxíng
科技强国 | kējì qiángguó
领军人才 | lǐngjūn réncái
算力 | suànlì
遥感 | yáogǎn
深海 | shēnhǎi
物联网 | wùliánwǎng
高端 | gāoduān
着力 | zhuólì
转型升级 | zhuǎnxíng shēngjí
碳达峰 | tàn dáfēng
科研人员 | kēyán rényuán
科研机构 | kēyán jīgòu
科研院所 | kēyán yuànsuǒ
科技政策 | kējì zhèngcè
国家实验室 | guójiā shíyànshì
重大专项 | zhòngdà zhuānxiàng
揭榜挂帅 | jiē bǎng guà shuài
举国体制 | jǔguó tǐzhì
原始创新 | yuánshǐ chuàngxīn
技术转让 | jìshù zhuǎnràng
技术壁垒 | jìshù bìlěi
国产化 | guóchǎnhuà
替代 | tìdài
