# theme: 의학과 생명
# unit: voca-6-u009
染色体 | rǎnsètǐ
新陈代谢 | xīnchén dàixiè
免疫力 | miǎnyìlì
抗体 | kàngtǐ
病菌 | bìngjūn
传染病 | chuánrǎnbìng
瘟疫 | wēnyì
疫情 | yìqíng
接种 | jiēzhòng
流行病 | liúxíngbìng
隔离 | gélí
防疫 | fángyì
病症 | bìngzhèng
并发症 | bìngfāzhèng
后遗症 | hòuyízhèng
慢性病 | mànxìngbìng
急性 | jíxìng
恶性 | èxìng
良性 | liángxìng
肿瘤 | zhǒngliú
癌细胞 | ái xìbāo
中风 | zhòngfēng
器官 | qìguān
肝脏 | gānzàng
肾脏 | shènzàng
神经 | shénjīng
血管 | xuèguǎn
呼吸道 | hūxīdào
内分泌 | nèifēnmì
激素 | jīsù
确诊 | quèzhěn
误诊 | wùzhěn
病理 | bìnglǐ
疗效 | liáoxiào
疗程 | liáochéng
剂量 | jìliàng
抗生素 | kàngshēngsù
麻醉 | mázuì
移植 | yízhí
输血 | shūxuè
疗养 | liáoyǎng
护理 | hùlǐ
推拿 | tuīná
生理 | shēnglǐ
机能 | jīnéng
衰老 | shuāilǎo
衰竭 | shuāijié
繁殖 | fánzhí
孕育 | yùnyù
胚胎 | pēitāi
胎儿 | tāi'ér
分娩 | fēnmiǎn
生命力 | shēngmìnglì
机体 | jītǐ
有机体 | yǒujītǐ
寄生虫 | jìshēngchóng
变异 | biànyì
突变 | tūbiàn
基因组 | jīyīnzǔ
干细胞 | gànxìbāo
靶向 | bǎxiàng
安乐死 | ānlèsǐ
临终关怀 | línzhōng guānhuái
医患关系 | yīhuàn guānxì
瘫痪 | tānhuàn
失明 | shīmíng
昏迷 | hūnmí
休克 | xiūkè
抢救 | qiǎngjiù
痊愈 | quányù
复发 | fùfā
病危 | bìngwēi
绝症 | juézhèng
炎症 | yánzhèng
抑郁症 | yìyùzhèng
焦虑症 | jiāolǜzhèng
体质 | tǐzhì
骨骼 | gǔgé
听觉 | tīngjué
新生儿 | xīnshēng'ér
病因 | bìngyīn
病变 | bìngbiàn
血糖 | xuètáng
心肌梗死 | xīnjī gěngsǐ
溃疡 | kuìyáng
痉挛 | jìngluán
心率 | xīnlǜ
遗传病 | yíchuánbìng
解剖 | jiěpōu
截肢 | jiézhī
创伤 | chuāngshāng
骨折 | gǔzhé
化疗 | huàliáo
痴呆 | chīdāi
心血管 | xīnxuèguǎn
动脉 | dòngmài
静脉 | jìngmài
血栓 | xuèshuān
白血病 | báixuèbìng
贫血 | pínxuè
