# theme: 예술과 미학
# unit: voca-6-u011
美学 | měixué
审美观 | shěnměiguān
美感 | měigǎn
临摹 | línmó
素描 | sùmiáo
写意 | xiěyì
工笔 | gōngbǐ
神韵 | shényùn
气韵 | qìyùn
格调 | gédiào
品位 | pǐnwèi
技艺 | jìyì
工艺 | gōngyì
匠心 | jiàngxīn
构思 | gòusī
章法 | zhāngfǎ
色调 | sèdiào
轮廓 | lúnkuò
质感 | zhìgǎn
对称 | duìchèn
留白 | liúbái
烘托 | hōngtuō
衬托 | chèntuō
点缀 | diǎnzhuì
工艺品 | gōngyìpǐn
品鉴 | pǐnjiàn
画卷 | huàjuàn
真迹 | zhēnjì
赝品 | yànpǐn
仿制 | fǎngzhì
即兴 | jíxìng
乐章 | yuèzhāng
乐谱 | yuèpǔ
协奏曲 | xiézòuqǔ
和声 | héshēng
音色 | yīnsè
昆曲 | kūnqǔ
编舞 | biānwǔ
布景 | bùjǐng
典雅 | diǎnyǎ
雅致 | yǎzhì
庸俗 | yōngsú
俗气 | súqi
淡雅 | dànyǎ
质朴 | zhìpǔ
古朴 | gǔpǔ
精湛 | jīngzhàn
细腻 | xìnì
粗犷 | cūguǎng
含蓄 | hánxù
具象 | jùxiàng
印象派 | yìnxiàngpài
壮丽 | zhuànglì
秀丽 | xiùlì
绚丽 | xuànlì
斑斓 | bānlán
雕琢 | diāozhuó
勾勒 | gōulè
笔墨 | bǐmò
宣纸 | xuānzhǐ
颜料 | yánliào
版画 | bǎnhuà
壁画 | bìhuà
园林 | yuánlín
再现 | zàixiàn
表现力 | biǎoxiànlì
陶冶 | táoyě
情操 | qíngcāo
底蕴 | dǐyùn
风韵 | fēngyùn
惟妙惟肖 | wéi miào wéi xiào
巧夺天工 | qiǎo duó tiān gōng
美不胜收 | měi bù shèng shōu
别具一格 | bié jù yī gé
独具匠心 | dú jù jiàng xīn
画龙点睛 | huà lóng diǎn jīng
五彩缤纷 | wǔ cǎi bīn fēn
砚台 | yàntai
雕塑家 | diāosùjiā
山水画 | shānshuǐhuà
装裱 | zhuāngbiǎo
书画 | shūhuà
策展 | cèzhǎn
收藏家 | shōucángjiā
空灵 | kōnglíng
飘逸 | piāoyì
苍劲 | cāngjìng
浑厚 | húnhòu
花鸟画 | huāniǎohuà
文人画 | wénrénhuà
行书 | xíngshū
草书 | cǎoshū
楷书 | kǎishū
墨宝 | mòbǎo
题跋 | tíbá
落款 | luòkuǎn
青花瓷 | qīnghuācí
漆器 | qīqì
景泰蓝 | jǐngtàilán
浮雕 | fúdiāo
