# theme: 역사 해석
# unit: voca-6-u012
史实 | shǐshí
史学 | shǐxué
史观 | shǐguān
典籍 | diǎnjí
档案 | dàng'àn
碑文 | bēiwén
甲骨文 | jiǎgǔwén
铭文 | míngwén
纪年 | jìnián
编年史 | biānniánshǐ
诸侯 | zhūhóu
宰相 | zǎixiàng
士大夫 | shìdàfū
叛乱 | pànluàn
政变 | zhèngbiàn
变法 | biànfǎ
维新 | wéixīn
复辟 | fùbì
割据 | gējù
兴衰 | xīngshuāi
兴亡 | xīngwáng
盛世 | shèngshì
鼎盛 | dǐngshèng
没落 | mòluò
覆灭 | fùmiè
崛起 | juéqǐ
沿革 | yángé
变迁 | biànqiān
渊源 | yuānyuán
追溯 | zhuīsù
溯源 | sùyuán
承袭 | chéngxí
断代 | duàndài
纪元 | jìyuán
远古 | yuǎngǔ
上古 | shànggǔ
中世纪 | zhōngshìjì
版图 | bǎntú
野史 | yěshǐ
正史 | zhèngshǐ
杜撰 | dùzhuàn
篡改 | cuàngǎi
歪曲 | wāiqū
曲解 | qūjiě
粉饰 | fěnshì
抹杀 | mǒshā
还原 | huányuán
评判 | píngpàn
功过 | gōngguò
功绩 | gōngjì
鉴戒 | jiànjiè
缅怀 | miǎnhuái
纪念碑 | jìniànbēi
先驱 | xiānqū
先辈 | xiānbèi
华夏 | huáxià
丝绸之路 | sīchóu zhī lù
转折点 | zhuǎnzhédiǎn
里程碑 | lǐchéngbēi
划时代 | huàshídài
局限性 | júxiànxìng
必然性 | bìránxìng
偶然性 | ǒuránxìng
动荡 | dòngdàng
浩劫 | hàojié
屈辱 | qūrǔ
昌盛 | chāngshèng
沧桑 | cāngsāng
翻案 | fān'àn
门阀 | ménfá
氏族 | shìzú
宫廷 | gōngtíng
年号 | niánhào
源远流长 | yuán yuǎn liú cháng
盖棺定论 | gài guān dìng lùn
以史为鉴 | yǐ shǐ wéi jiàn
前车之鉴 | qián chē zhī jiàn
沧海桑田 | cāng hǎi sāng tián
改朝换代 | gǎi cháo huàn dài
诸子百家 | zhū zǐ bǎi jiā
史册 | shǐcè
青史 | qīngshǐ
考订 | kǎodìng
孤证 | gūzhèng
帝制 | dìzhì
皇权 | huángquán
禅让 | shànràng
分封 | fēnfēng
郡县制 | jùnxiànzhì
藩属 | fānshǔ
割让 | gēràng
兵变 | bīngbiàn
篡位 | cuànwèi
登基 | dēngjī
更迭 | gēngdié
嬗变 | shànbiàn
中兴 | zhōngxīng
衰微 | shuāiwēi
式微 | shìwēi
倾覆 | qīngfù
