# theme: 서면어 호응 — 鉴于·势必
# unit: voca-6-u014
鉴于 | jiànyú
势必 | shìbì
以至 | yǐzhì
继而 | jì'ér
故而 | gù'ér
甚而 | shèn'ér
尚且 | shàngqiě
诚然 | chéngrán
纵然 | zòngrán
纵使 | zòngshǐ
若非 | ruòfēi
唯有 | wéiyǒu
惟独 | wéidú
不仅如此 | bùjǐn rúcǐ
毋宁 | wúníng
莫非 | mòfēi
岂 | qǐ
何以 | héyǐ
未尝 | wèicháng
必将 | bìjiāng
乃 | nǎi
系 | xì
归根到底 | guī gēn dào dǐ
简而言之 | jiǎn ér yán zhī
加之 | jiāzhī
就此而言 | jiù cǐ ér yán
借此 | jiècǐ
自此 | zìcǐ
至此 | zhìcǐ
旋即 | xuánjí
一经 | yījīng
一度 | yīdù
素来 | sùlái
截至 | jiézhì
行将 | xíngjiāng
终将 | zhōngjiāng
不由得 | bùyóude
不禁 | bùjīn
务求 | wùqiú
力求 | lìqiú
旨在 | zhǐzài
意在 | yìzài
有鉴于此 | yǒu jiàn yú cǐ
出于 | chūyú
依托 | yītuō
有赖于 | yǒulàiyú
取决于 | qǔjuéyú
归因于 | guīyīnyú
归功于 | guīgōngyú
迫使 | pòshǐ
以期 | yǐqī
以求 | yǐqiú
抑或 | yìhuò
绝非 | juéfēi
无非 | wúfēi
莫过于 | mòguòyú
不外乎 | bùwàihū
无不 | wúbù
不无 | bùwú
不见得 | bùjiànde
不至于 | bùzhìyú
何至于 | hézhìyú
凡 | fán
诸如此类 | zhū rú cǐ lèi
上述 | shàngshù
前者 | qiánzhě
后者 | hòuzhě
而言 | éryán
罢了 | bàle
尽管如此 | jǐnguǎn rúcǐ
话虽如此 | huà suī rúcǐ
更何况 | gèng hékuàng
势在必行 | shì zài bì xíng
不可避免 | bùkě bìmiǎn
遂 | suì
抑 | yì
如若 | rúruò
设若 | shèruò
即或 | jíhuò
任凭 | rènpíng
与其说 | yǔqí shuō
毋宁说 | wúníng shuō
宁肯 | nìngkěn
以防 | yǐfáng
故此 | gùcǐ
是故 | shìgù
由是 | yóushì
于是乎 | yúshìhū
足见 | zújiàn
源于 | yuányú
归结于 | guījiéyú
着眼于 | zhuóyǎnyú
得益于 | déyìyú
受制于 | shòuzhìyú
有别于 | yǒubiéyú
相较于 | xiāngjiàoyú
较之 | jiàozhī
质言之 | zhì yán zhī
一言以蔽之 | yī yán yǐ bì zhī
以此 | yǐcǐ
