# theme: 완곡·격식 표현
# unit: voca-6-u018
光临 | guānglín
惠顾 | huìgù
莅临 | lìlín
驾临 | jiàlín
大驾 | dàjià
赐教 | cìjiào
指教 | zhǐjiào
久仰 | jiǔyǎng
幸会 | xìnghuì
久违 | jiǔwéi
拜读 | bàidú
拜会 | bàihuì
奉告 | fènggào
奉还 | fènghuán
奉陪 | fèngpéi
奉劝 | fèngquàn
奉上 | fèngshàng
恭候 | gōnghòu
恭维 | gōngwei
敬请 | jìngqǐng
敬告 | jìnggào
敬意 | jìngyì
惠存 | huìcún
惠赠 | huìzèng
雅正 | yǎzhèng
斧正 | fǔzhèng
垂询 | chuíxún
垂青 | chuíqīng
高见 | gāojiàn
高就 | gāojiù
高寿 | gāoshòu
高龄 | gāolíng
贵庚 | guìgēng
令尊 | lìngzūn
令堂 | lìngtáng
令郎 | lìngláng
令爱 | lìng'ài
府上 | fǔshang
阁下 | géxià
鼎力 | dǐnglì
笑纳 | xiàonà
海涵 | hǎihán
包涵 | bāohan
见谅 | jiànliàng
失陪 | shīpéi
失敬 | shījìng
留步 | liúbù
叨扰 | tāorǎo
赏光 | shǎngguāng
赏脸 | shǎngliǎn
承蒙 | chéngméng
有劳 | yǒuláo
费心 | fèixīn
过奖 | guòjiǎng
不敢当 | bù gǎndāng
寒舍 | hánshè
拙作 | zhuōzuò
愚见 | yújiàn
浅见 | qiǎnjiàn
鄙人 | bǐrén
在下 | zàixià
家父 | jiāfù
家母 | jiāmǔ
犬子 | quǎnzǐ
舍弟 | shèdì
薄礼 | bólǐ
献丑 | xiànchǒu
见笑 | jiànxiào
冒昧 | màomèi
斗胆 | dǒudǎn
逝世 | shìshì
辞世 | císhì
过世 | guòshì
仙逝 | xiānshì
长眠 | chángmián
殉职 | xùnzhí
身故 | shēngù
后事 | hòushì
遗体 | yítǐ
安息 | ānxī
节哀顺变 | jié'āi shùnbiàn
吊唁 | diàoyàn
发福 | fāfú
待业 | dàiyè
劝退 | quàntuì
欠佳 | qiànjiā
欠妥 | qiàntuǒ
失当 | shīdàng
不尽如人意 | bù jìn rú rényì
抱恙 | bàoyàng
欠安 | qiàn'ān
如厕 | rúcè
年事已高 | niánshì yǐ gāo
拮据 | jiéjū
囊中羞涩 | náng zhōng xiūsè
婉拒 | wǎnjù
婉言 | wǎnyán
委婉 | wěiwǎn
客套 | kètào
寒暄 | hánxuān
